Y	VEL
0.68	-0.13606
0.681	-0.13497
0.682	-0.13387
0.683	-0.13278
0.684	-0.13168
0.685	-0.13059
0.686	-0.12949
0.687	-0.1284
0.688	-0.1273
0.689	-0.12621
0.69	-0.12511
0.691	-0.12402
0.692	-0.12292
0.693	-0.12183
0.694	-0.12073
0.695	-0.11943
0.696	-0.11797
0.697	-0.11651
0.698	-0.11505
0.699	-0.11359
0.7	-0.11212
0.701	-0.11066
0.702	-0.1092
0.703	-0.10774
0.704	-0.10628
0.705	-0.10482
0.706	-0.10335
0.707	-0.10189
0.708	-0.10043
0.709	-0.098969
0.71	-0.097507
0.711	-0.096046
0.712	-0.094584
0.713	-0.093122
0.714	-0.091661
0.715	-0.090199
0.716	-0.088737
0.717	-0.087276
0.718	-0.085814
0.719	-0.084353
0.72	-0.082891
0.721	-0.081429
0.722	-0.079968
0.723	-0.078506
0.724	-0.076975
0.725	-0.075424
0.726	-0.07347
0.727	-0.071516
0.728	-0.069561
0.729	-0.067607
0.73	-0.06571
0.731	-0.063817
0.732	-0.061924
0.733	-0.060031
0.734	-0.058138
0.735	-0.056245
0.736	-0.054352
0.737	-0.05246
0.738	-0.050567
0.739	-0.048673
0.74	-0.046781
0.741	-0.044888
0.742	-0.042995
0.743	-0.041102
0.744	-0.039209
0.745	-0.037316
0.746	-0.035423
0.747	-0.03353
0.748	-0.031637
0.749	-0.029744
0.75	-0.027851
0.751	-0.025958
0.752	-0.024065
0.753	-0.022172
0.754	-0.020279
0.755	-0.018386
0.756	-0.016493
0.757	-0.014507
0.758	-0.012209
0.759	-0.0099105
0.76	-0.0076124
0.761	-0.0053143
0.762	-0.003016
0.763	-0.00071794
0.764	0.0015802
0.765	0.0038783
0.766	0.0061764
0.767	0.0084746
0.768	0.010773
0.769	0.013098
0.77	0.015512
0.771	0.017925
0.772	0.020338
0.773	0.022751
0.774	0.025164
0.775	0.027577
0.776	0.029991
0.777	0.032404
0.778	0.034817
0.779	0.03723
0.78	0.039643
0.781	0.042057
0.782	0.04447
0.783	0.046883
0.784	0.04953
0.785	0.052288
0.786	0.055046
0.787	0.057804
0.788	0.060562
0.789	0.06332
0.79	0.066078
0.791	0.068835
0.792	0.071593
0.793	0.074351
0.794	0.077109
0.795	0.079867
0.796	0.082625
0.797	0.085383
0.798	0.08814
0.799	0.090898
0.8	0.093683
0.801	0.096475
0.802	0.099267
0.803	0.10206
0.804	0.10485
0.805	0.10764
0.806	0.11054
0.807	0.11375
0.808	0.11695
0.809	0.12015
0.81	0.12336
0.811	0.12656
0.812	0.12976
